gelB_I_2_5mm8	gelB_I_2_5mm8	gelB_I_2_5mm8	
Force	Distance	Time	
g	mm	sec	

-0.00210372	0	0	
-0.0210372	0	0.005	
-0.00631117	0	0.01	
0.0252447	0	0.015	
0.0336596	0	0.02	
0.0189335	0	0.025	
-0.0231409	0	0.03	
-0.0273484	0	0.035	
-0.0147261	0	0.04	
-0.0168298	0	0.045	
-0.0126223	0	0.05	
0.0189335	0	0.055	
0.0252447	0	0.06	
0.0147261	0	0.065	
0.0126223	0	0.07	
0.00420744	0	0.075	
-0.00420744	0	0.08	
-0.0315558	0	0.085	
-0.0336596	0	0.09	
-0.00420744	0	0.095	
-0.00210372	0	0.1	
0.00841489	0.001	0.105	
0.0357633	0.001	0.11	
0.0862526	0.001	0.115	
0.0568005	0.001	0.12	
-0.0168298	0.001	0.125	
-0.0778377	0.001	0.13	
-0.0294521	0.001	0.135	
-0.0126223	0.001	0.14	
-0.0568005	0.001	0.145	
-0.0504893	0.001	0.15	
0.0189335	0.001	0.155	
0.0483856	0.001	0.16	
-0.0105186	0.001	0.165	
-0.0589042	0.001	0.17	
-0.00631117	0.001	0.175	
0.0210372	0.001	0.18	
-0.00841489	0.001	0.185	
-0.0294521	0.001	0.19	
0.0273484	0.001	0.195	
0.0546968	0.001	0.2	
-0.0210372	0.002	0.205	
-0.0504893	0.002	0.21	
0.0273484	0.002	0.215	
0.0462819	0.002	0.22	
-0.0483856	0.002	0.225	
-0.0946675	0.002	0.23	
0.0126223	0.002	0.235	
0.0736303	0.002	0.24	
-0.00631117	0.002	0.245	
-0.0462819	0.002	0.25	
0.0189335	0.002	0.255	
0.0568005	0.002	0.26	
-0.0273484	0.002	0.265	
-0.0673191	0.002	0.27	
0.0210372	0.002	0.275	
0.0778377	0.002	0.28	
0.00210372	0.002	0.285	
-0.0589042	0.002	0.29	
-0.00210372	0.002	0.295	
0.0504893	0.002	0.3	
-0.0105186	0.003	0.305	
-0.0315558	0.003	0.31	
0.0736303	0.003	0.315	
0.122016	0.003	0.32	
0	0.003	0.325	
-0.0589042	0.003	0.33	
0.0462819	0.003	0.335	
0.140949	0.003	0.34	
0.0841489	0.003	0.345	
0.0546968	0.003	0.35	
0.111497	0.003	0.355	
0.0441782	0.003	0.36	
-0.189335	0.003	0.365	
-0.347114	0.003	0.37	
-0.260862	0.003	0.375	
-0.136742	0.003	0.38	
-0.100979	0.003	0.385	
0.00841489	0.003	0.39	
0.222995	0.003	0.395	
